Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-08-03,0.315123051404953,0.315123051404953,0.30984119188280096,0.315123051404953,110846400,0.0,0.0
1988-08-04,0.31512299048524073,0.3186436888778643,0.31336183037680343,0.31424281001091003,68913600,0.0,0.0
1988-08-05,0.3133617672671266,0.31688326411031215,0.3116014301776886,0.3116014301776886,52662400,0.0,0.0
1988-08-08,0.31336179438951195,0.31512295429569304,0.3098410964012146,0.3098410964012146,29937600,0.0,0.0
1988-08-09,0.3098410732666709,0.31160143388172906,0.3027997013205227,0.3063203990459442,170027200,0.0,0.0
1988-08-10,0.3080808545657734,0.3080808545657734,0.29399728259620134,0.29487743973731995,147806400,0.0,0.0
1988-08-11,0.29751789915164484,0.3045600950717926,0.2957575617139008,0.3045600950717926,106052800,0.0,0.0
1988-08-12,0.30279975680769383,0.30279975680769383,0.29751789833970455,0.29927825927734375,77481600,0.0,0.0
1988-08-15,0.2980787965099643,0.2980787965099643,0.2857323323272236,0.2910241484642029,166678400,0.000714,0.0
1988-08-16,0.2892596975133452,0.30513429977272294,0.2874960412099706,0.29984250664711,122752000,0.0,0.0
1988-08-17,0.29984249944498487,0.301606155705997,0.294551507112935,0.29631516337394714,118944000,0.0,0.0
1988-08-18,0.29631517049134676,0.3033706434693483,0.2945515141879721,0.29984250664711,74065600,0.0,0.0
1988-08-19,0.2998424331362318,0.30160608900721975,0.28573229130601707,0.2874959707260132,227360000,0.0,0.0
1988-08-22,0.28396861926987493,0.2874959543600624,0.2786776284090972,0.2804412841796875,170195200,0.0,0.0
1988-08-23,0.2804413281951482,0.2839686638389534,0.27691319188498414,0.27867767214775085,163576000,0.0,0.0
1988-08-24,0.28044130014404517,0.2874959707260132,0.27867764427305725,0.2874959707260132,125473600,0.0,0.0
1988-08-25,0.2839686462793951,0.28573230221773455,0.27691317476170973,0.2830868065357208,127680000,0.0,0.0
1988-08-26,0.28220488277975414,0.28749587212714145,0.28220488277975414,0.2839685380458832,40152000,0.0,0.0
1988-08-29,0.2874960114129898,0.28925966753357363,0.2857323317433944,0.2883778512477875,57232000,0.0,0.0
1988-08-30,0.2874960114129898,0.28925966753357363,0.28220501950222676,0.2883778512477875,50568000,0.0,0.0
1988-08-31,0.28925968278848135,0.2901423233362196,0.2786776984088851,0.2813231945037842,237686400,0.0,0.0
1988-09-01,0.2804413356138343,0.2804413356138343,0.2716222073791698,0.27426770329475403,246736000,0.0,0.0
1988-09-02,0.2786776284090972,0.28220496349928464,0.2751494926526766,0.2804412841796875,186300800,0.0,0.0
